Date,Consumer Price Index,Food and non-alcoholic beverages,"Alcoholic Beverages, Tobacco, and Narcotics",Clothing and footwear,"Housing, Water, Electricity, Gas and Other Fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,Country
01-Jan-2002,7.28,5.21,10.73,5.09,14.97,10.14,20.52,7.46,25.22,10.36,24.95,7.77,10.36,Angola
01-Feb-2002,7.73,5.51,11.51,5.44,15.62,11.04,21.1,7.97,27.32,11.35,26.09,8.42,11.09,Angola
01-Mar-2002,8.17,5.7,12.06,6.24,16.4,12.23,22.31,8.08,28.94,12.67,27.03,8.78,12.6,Angola
01-Apr-2002,8.51,6.08,12.8,6.45,16.46,12.52,22.76,8.08,30.35,12.72,27.19,9.03,13.2,Angola
01-May-2002,9.1,6.54,13.78,6.77,17.73,13.45,24.03,8.18,34.01,13.33,28.59,9.78,14.34,Angola
01-Jun-2002,9.56,6.9,14.64,7.16,18.05,14.36,25.28,8.23,39.89,14.14,30.41,10.18,15.27,Angola
01-Jul-2002,10.25,7.56,15.26,7.49,19.16,15.73,26.75,8.33,45.46,14.96,31.74,10.51,15.89,Angola
01-Aug-2002,11.01,8.26,15.95,8.08,19.58,17.39,28.4,8.42,54.79,15.58,33.78,11.23,16.88,Angola
01-Sep-2002,11.59,8.8,16.64,8.75,20.01,18.09,29.28,8.44,56.42,16.42,33.88,11.85,17.79,Angola
01-Oct-2002,12.05,9.17,17.13,9.85,20.28,18.79,30.71,8.45,56.77,16.62,33.91,12.06,19,Angola
01-Nov-2002,12.79,9.79,17.78,10.71,20.87,19.61,32.5,9.78,58.73,17.54,34.55,12.54,19.68,Angola
01-Dec-2002,13.91,10.69,19.65,11.61,23.81,21.16,34.1,10.01,60.28,18.69,37.5,13.75,20.85,Angola
01-Jan-2003,14.88,11.42,23.01,12.14,25.65,21.89,34.25,10.12,67.71,21.4,41.63,15.74,21.78,Angola
01-Feb-2003,16.02,12.37,24.64,12.88,27.85,23.66,36.54,10.3,69.21,23.7,51.44,16.58,22.7,Angola
01-Mar-2003,16.92,13.21,26.29,13.24,28.9,25.2,38.39,10.42,72.54,24.8,54.86,17.48,23.77,Angola
01-Apr-2003,18.16,14.19,27.39,13.69,29.87,26.15,38.68,15.56,76.65,25.62,56.85,18.01,24.45,Angola
01-May-2003,19.11,14.79,28.61,14.22,31.08,27.4,40.72,18.37,84.95,26.35,59.39,18.49,26.21,Angola
01-Jun-2003,20.14,15.67,29.76,14.87,34.6,28.39,42.1,18.54,85.35,27.53,60.64,19.28,27.09,Angola
01-Jul-2003,20.94,16.21,31.31,15.44,36.58,29.33,43.66,18.64,89.02,28.72,62.32,20,29.85,Angola
01-Aug-2003,21.99,17.04,32.62,16.09,39.45,31.04,46.55,19.09,91.73,29.92,64.9,20.64,31.15,Angola
01-Sep-2003,22.6,17.64,33.33,16.5,39.65,32.59,47.15,19.14,97.45,30.52,65.84,20.93,31.88,Angola
01-Oct-2003,22.94,17.97,33.94,16.95,39.73,33.3,47.34,19.14,101.05,30.96,65.84,21.05,32.23,Angola
01-Nov-2003,23.48,18.37,35.4,17.42,41.01,34.28,47.41,19.14,101.05,31.42,65.84,21.93,33.26,Angola
01-Dec-2003,24.56,19.57,37.26,18.42,42.01,34.87,47.57,19.14,101.05,31.91,65.84,23.34,33.85,Angola
01-Jan-2004,25.31,20.34,38.98,18.87,42.92,35.54,48.19,19.26,101.05,32.12,66.45,24.72,34.25,Angola
01-Feb-2004,26.05,21.2,41.03,19.02,43.11,36.45,48.76,19.35,101.05,32.85,68.66,25.24,34.64,Angola
01-Mar-2004,26.62,21.82,42.02,19.2,43.2,37.38,48.97,19.47,101.05,33.66,69.21,25.65,35.52,Angola
01-Apr-2004,27.25,22.32,42.56,19.78,44.08,37.93,49.05,21.17,101.05,33.98,69.21,25.72,36.66,Angola
01-May-2004,28.47,22.96,42.89,20.37,46.96,38.27,49.11,28.61,101.05,34.62,69.21,26.22,37.26,Angola
01-Jun-2004,29.03,23.51,43.03,21.11,47.87,38.92,49.41,28.61,101.05,35.22,69.21,26.56,37.98,Angola
01-Jul-2004,29.45,23.83,43.23,22.07,48.1,39.91,49.89,28.62,99.55,35.78,69.85,27.19,38.82,Angola
01-Aug-2004,29.92,24.23,43.4,23.01,48.83,40.61,50.53,28.67,99.55,35.95,70.26,27.83,39.24,Angola
01-Sep-2004,30.39,24.67,43.55,23.64,49.35,41.46,50.96,28.69,99.55,36.31,70.26,28.55,39.55,Angola
01-Oct-2004,30.86,25.18,43.82,24.2,50.33,41.74,51.05,28.69,99.55,36.52,70.26,28.75,39.75,Angola
01-Nov-2004,31.44,25.54,44.13,24.67,52.27,42.13,51.15,30.95,99.55,36.67,70.26,28.8,39.96,Angola
01-Dec-2004,32.17,26.01,44.65,25.01,54.21,42.45,51.38,34.09,99.55,36.82,70.26,29.03,40.63,Angola
01-Jan-2005,32.8,26.2,44.5,25.31,56.41,42.13,52.73,36.87,99.72,38.48,74.38,29.43,40.64,Angola
01-Feb-2005,33.46,26.57,44.72,25.59,59.74,42.4,52.97,37.68,99.72,39.48,83.57,29.59,40.8,Angola
01-Mar-2005,34.12,27.15,45.17,26.4,60.23,42.83,53.34,39.11,99.72,41.15,84.68,29.91,40.93,Angola
01-Apr-2005,34.61,27.74,45.34,27.02,60.54,43.34,53.41,39.11,99.72,41.98,87.12,30.06,41.09,Angola
01-May-2005,35.05,28.34,45.64,27.54,60.53,43.59,53.59,39.15,99.72,42.09,87.1,30.13,41.81,Angola
01-Jun-2005,35.41,28.71,45.76,28.36,60.53,44.1,53.96,39.17,99.72,42.54,87.1,30.47,42.22,Angola
01-Jul-2005,35.81,29.18,45.95,28.73,60.59,45.02,54.66,39.18,99.72,42.94,87.21,30.98,42.28,Angola
01-Aug-2005,36.22,29.74,46.13,29.15,60.59,45.55,54.93,39.2,99.72,43.37,87.35,31.03,42.47,Angola
01-Sep-2005,36.61,30.12,46.16,30.29,60.6,46.35,55.16,39.21,99.72,44.08,87.39,31.23,42.9,Angola
01-Oct-2005,36.97,30.5,46.72,30.57,61.2,46.74,55.25,39.3,99.72,44.85,87.39,31.34,43.17,Angola
01-Nov-2005,37.41,31.05,47.38,31.04,61.37,47.18,55.3,39.39,99.72,45.4,87.1,31.62,43.31,Angola
01-Dec-2005,38.13,31.81,48.72,32.39,62.28,48.1,55.31,39.39,99.72,46.63,87.39,31.72,43.4,Angola
01-Jan-2006,38.45,32.01,49.35,32.83,62.57,48.36,55.35,39.39,99.72,51.95,87.39,31.91,43.45,Angola
01-Feb-2006,38.72,32.24,49.14,33.49,62.84,48.35,55.42,39.39,99.72,55.57,87.39,31.99,43.49,Angola
01-Mar-2006,39.03,32.58,49.35,34.22,62.96,48.42,55.52,39.39,99.72,57.12,87.39,31.99,43.49,Angola
01-Apr-2006,39.36,32.83,49.69,35.55,63.51,48.65,55.71,39.39,99.72,57.92,87.39,31.99,43.52,Angola
01-May-2006,39.68,33.17,49.82,36.35,63.96,48.74,55.9,39.39,99.72,58.34,87.39,32.07,43.56,Angola
01-Jun-2006,39.98,33.58,49.84,36.8,64.44,48.76,55.92,39.39,99.72,58.25,87.39,32.07,43.58,Angola
01-Jul-2006,40.35,33.93,49.87,38.19,64.47,48.8,55.92,39.39,99.72,58.53,87.39,32.85,43.61,Angola
01-Aug-2006,40.67,34.36,50.02,38.46,64.61,48.95,56.66,39.39,99.72,58.74,87.39,33.17,43.63,Angola
01-Sep-2006,41.01,34.8,50.12,39.07,64.63,49.06,56.98,39.39,99.72,58.91,87.39,33.46,43.78,Angola
01-Oct-2006,41.37,35.07,50.2,39.84,65.91,49.21,57.14,39.47,99.72,59.61,87.39,33.67,43.82,Angola
01-Nov-2006,41.96,35.67,50.24,40.33,66.66,49.51,57.17,41.13,99.72,59.64,87.39,33.7,43.84,Angola
01-Dec-2006,42.79,36.4,50.67,41.63,66.82,49.95,57.95,43.37,99.72,61.61,87.39,33.94,44.02,Angola
01-Jan-2007,43.14,36.67,50.81,42.8,67.38,50.23,58.58,43.19,99.72,63.2,87.39,34.02,44.31,Angola
01-Feb-2007,43.51,37.06,51.64,43.51,67.86,50.37,58.8,43.19,99.72,64.39,87.39,34.05,44.31,Angola
01-Mar-2007,43.86,37.25,52.24,43.97,68.34,50.64,59.08,44.47,99.72,65.66,87.39,34.06,44.31,Angola
01-Apr-2007,44.2,37.27,52.34,44.61,69.04,50.84,58.99,47.05,99.72,65.77,87.39,34.06,44.32,Angola
01-May-2007,44.59,37.75,52.36,45.06,69.2,51.21,59.16,47.05,99.72,66.08,87.39,34.71,44.59,Angola
01-Jun-2007,44.94,38.09,52.41,45.76,69.26,52.11,59.51,47.05,99.72,66.36,87.39,35.21,45.16,Angola
01-Jul-2007,45.37,38.77,52.42,46.03,68.76,52.24,59.93,47.05,99.72,66.43,87.39,35.62,45.49,Angola
01-Aug-2007,45.72,39.29,52.43,46.43,68.19,52.63,60.36,47.05,99.72,66.6,87.39,36.03,45.89,Angola
01-Sep-2007,46.07,39.63,52.5,46.78,68.16,53.12,60.86,47.07,99.72,67.55,87.39,36.94,46.64,Angola
01-Oct-2007,46.44,40.05,52.6,47.22,68.31,53.67,62.01,47.14,99.72,67.74,87.39,37.12,47.01,Angola
01-Nov-2007,46.93,40.8,52.62,47.82,68.32,53.84,62.04,47.14,99.72,67.74,87.39,37.13,47.08,Angola
01-Dec-2007,47.83,41.68,52.64,48.35,69.46,53.94,62.07,50.11,99.72,68.01,87.39,37.15,47.24,Angola
01-Jan-2008,48.24,42.27,52.69,48.33,70.28,54.01,62.29,50.12,99.72,67.55,87.39,37.23,47.35,Angola
01-Feb-2008,48.65,43.04,52.96,49.45,68.45,54.2,62.91,50.12,99.72,66.1,87.39,37.31,47.54,Angola
